app_name,category,duration,price,notes
Netflix Premium,SHARING 1P1U,1 Hari,5K,
Netflix Premium,SHARING 1P1U,3 Hari,13K,
Netflix Premium,SHARING 1P1U,7 Hari,17K,
Netflix Premium,SHARING 1P1U,14 Hari,32K,
Netflix Premium,SHARING 1P1U,1 Bulan,45K,
Netflix Premium,SHARING 1P1U,2 Bulan,87K,
Netflix Premium,SHARING 1P1U,3 Bulan,127K,
Netflix Premium,SHARING 1P2U,1 Bulan,32K,
Netflix Premium,SEMI PRIVATE BASED 1U,1 Bulan,70K,
Netflix Premium,SEMI PRIVATE BASED 2U,1 Bulan,60K,
Netflix Premium,SINGLE SCREEN,1 Bulan,80K,
Netflix Premium,PRIVATE,7 Hari,70K,
Netflix Premium,PRIVATE,1 Bulan,175K,
Iqiyi,SHARING PREMIUM,1 Bulan,30K,Limit screen 4
Iqiyi,SHARING PREMIUM,3 Bulan,80K,Sharing 5 User
Iqiyi,SHARING STANDARD,1 Bulan,25K,Limit screen 3
Iqiyi ,SHARING STANDARD,3 Bulan,70K,Sharing 5 User
Iqiyi,PRIVATE PREMIUM,1 Bulan,75K,
Vidio,SHARING TV ONLY,1 Bulan,25K,
Vidio,SHARING ALL DEVICE,1 Bulan,45K,
Vidio,SHARING MOBILE ONLY,1 Bulan,30K,
Vidio,PRIVATE TV ONLY,1 Bulan,45K,
Vidio,PRIVATE ALL DEVICE,1 Bulan,75K,
Vidio,PRIVATE MOBILE ONLY,1 Bulan,50K,
Viu,PRIVATE ANTI LIMIT,1 Bulan,20K,
Viu,PRIVATE ANTI LIMIT,2 Bulan,35K,
Viu,PRIVATE ANTI LIMIT,3 Bulan,65K,
Viu,PRIVATE ANTI LIMIT,1 Tahun,100K,Viu+ available login TV 
Disney+,SHARING 6 USER,7 Hari,20K,
Disney+,SHARING 6 USER,1 Bulan,50K,
Disney+,SHARING ANTI LIMIT,7 Hari,30K,
Disney+,SHARING ANTI LIMIT,1 Bulan,60K,
YouTube,INDIVIDUAL PLAN,1 Bulan,30K,
YouTube ,INDIVIDUAL PLAN,3 Bulan,85K,
YouTube ,FAMILY PLAN,1 Bulan,25K,
YouTube ,FAMILY PLAN,2 Bulan,45K,"Individual plan acc seller, family plan acc buyer "
Loklok/LokTV,SHARING BASIC,1 Bulan,35K,Sharing 3 User
Loklok/LokTV,SHARING STANDARD,1 Bulan,45K,Sharing 4 User
Loklok/LokTV,PRIVATE STANDARD ,1 bulan,110K,
Loklok/LokTV,PRIVATE BASIC,1 Bulan,80K,
Prime Video,SHARING ,1 Bulan,35K,
Prime Video,PRIVATE,1 Bulan,65K,
HBO MAX,SHARING STANDARD,1 Bulan,35K,
HBO MAX,SHARING ULTIMATE,1 Bulan,45K,
HBO MAX,PRIVATE STANDARD,1 Bulan,85K,
HBO MAX,PRIVATE ULTIMATE,1 Bulan,120K,
AppleTV,SHARING 3 USER,1 Bulan,30K,
AppleTV,SHARING 3 USER,3 Bulan,75K,
AppleTV,PRIVATE,1 Bulan,60K,
Gagaoolala,SHARING 3 USER,1 Bulan,30K,
Gagaoolala,SHARING 3 USER,3 Bulan,85K,
Crunchyroll,SHARING,1 Bulan,40K,
Crunchyroll,SHARING,1 Bulan,85K,
Dramabox,SHARING,1 Bulan,30K,
WeTV,SHARING 3 USER,1 Bulan,35K,
WeTV,PRIVATE,1 Bulan,100K,
Spotify ,INDIVIDUAL PLAN,1 Bulan,40K,
Spotify,INDIVIDUAL PLAN,3 Bulan,100K,
Spotify,FAMILY PLAN,1 Bulan,30K,
Spotify,FAMILY PLAN,2 Bulan,55K,
Spotify,FAMILY PLAN,3 Bulan,85K,
Apple Music,PRIVATE VIA INVITE,1 Bulan,45K,
Apple Music,PRIVATE VIA INVITE,3 Bulan,90K,
Capcut,SHARING RENEW,1 Bulan,35K,
Capcut,SHARING NO RENEW,1 Bulan,45K,
Capcut,PRIVATE RENEW,1 Bulan,55K,
Capcut,PRIVATE NO RENEW,1 Bulan,65K,
Canva,VIA INVITE EMAIL,3 Hari,7K,
Canva,VIA INVITE EMAIL,7 Hari,13K,
Canva,VIA INVITE EMAIL,1 Bulan,25K,
Canva,VIA INVITE EMAIL,3 Bulan,45K,
Canva,VIA INVITE EMAIL,6 Bulan,70K,
Canva,VIA INVITE EMAIL,1 Tahun,100K,
Canva,VIA INVITE EMAIL,Plus designer,2K,
Canva,VIA INVITE EMAIL,EDU LIFETIME GAR 6B,50K,
Canva,VIA INVITE EMAIL,EDU LIFETIME GAR 12B,75K,
Alight Motion,SHARING ,1 Bulan,20K,
Alight Motion,SHARING,1 Tahun,75K,
Cek Turnitin,TAMPILAN LAMA,/1 File,5K,
Cek Turnitin,TAMPILAN BARU,/1 File,7K,
Cek AI,By Turnitin,AI only,22K,
Cek AI,By Turnitin,AI + Plagiasi,25K,
Cek AI,GPT ZERO,250-50K Karakter,4K,
Cek AI,GPT ZERO,51K-150K Karakter,8K,
Cek AI,GPT ZERO,Tambah plagiasi,8K,
Claude AI,SHARING 4 USER,1 Bulan,186K,
Claude AI,PRIVATE ,1 Bulan,380K,
Ms365,SHARING,1 Bulan,20K,
